segment_id,cum_ee_m,cum_shoulder_pan_joint_rad,cum_shoulder_lift_joint_rad,cum_elbow_joint_rad,cum_wrist_1_joint_rad,cum_wrist_2_joint_rad,cum_wrist_3_joint_rad,cum_shoulder_pan_joint_deg,cum_shoulder_lift_joint_deg,cum_elbow_joint_deg,cum_wrist_1_joint_deg,cum_wrist_2_joint_deg,cum_wrist_3_joint_deg,
1,0.675218,1.438895,0.094640,0.723649,0.631360,0.000835,3.011076,82.442602,5.422483,41.462041,36.174267,0.047825,172.521949,
2,0.098962,0.008489,0.222605,0.170695,0.384761,0.004807,0.017944,0.486388,12.754354,9.780098,22.045197,0.275417,1.028090,
3,0.098698,0.008410,0.222696,0.170690,0.384743,0.004822,0.017953,0.481847,12.759529,9.779834,22.044175,0.276258,1.028635,
4,0.991544,2.199322,0.006058,0.681819,0.676290,0.000033,2.199195,126.011890,0.347110,39.065377,38.748572,0.001881,126.004573,
5,0.100554,0.005597,0.017570,0.264659,0.282749,0.003774,0.012506,0.320656,1.006694,15.163856,16.200351,0.216226,0.716567,
6,0.100405,0.005668,0.017651,0.264707,0.282758,0.003659,0.012577,0.324754,1.011320,15.166608,16.200813,0.209624,0.720621,
7,0.991777,2.199590,0.005833,0.681937,0.676128,0.000238,2.199412,126.027223,0.334178,39.072127,38.739273,0.013637,126.017046,
8,0.098708,0.008360,0.222199,0.170624,0.384292,0.004707,0.015296,0.478996,12.731047,9.776049,22.018307,0.269713,0.876397,
9,0.098593,0.008234,0.222397,0.170560,0.384227,0.004660,0.015288,0.471762,12.742385,9.772363,22.014570,0.267000,0.875931,
10,0.952987,0.184464,1.365136,1.063759,2.430868,0.000220,0.184370,10.568987,78.216548,60.948929,139.278467,0.012623,10.563646,
11,0.000000,0.000016,0.000122,0.000095,0.000217,0.000000,0.000016,0.000944,0.006983,0.005441,0.012434,0.000001,0.000943,
12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
13,0.731614,0.217912,1.224724,0.776388,2.003117,0.000014,0.217897,12.485454,70.171491,44.483734,114.770178,0.000783,12.484556,
14,0.096690,0.000571,0.212773,0.168758,0.365534,0.000237,0.001267,0.032708,12.190982,9.669119,20.943553,0.013585,0.072600,
15,0.096441,0.000741,0.212782,0.168581,0.365509,0.000279,0.001219,0.042446,12.191528,9.658987,20.942129,0.016007,0.069862,
16,0.963859,2.199580,0.013598,0.493718,0.480230,0.000159,2.199567,126.026651,0.779096,28.287969,27.515163,0.009103,126.025888,
17,0.099491,0.005555,0.062501,0.232494,0.294448,0.003657,0.012602,0.318272,3.581038,13.320911,16.870644,0.209546,0.722021,
18,0.099104,0.005624,0.062344,0.232580,0.294525,0.003690,0.012707,0.322220,3.572069,13.325837,16.875032,0.211430,0.728085,
19,0.964065,2.199662,0.013628,0.493721,0.480462,0.000194,2.199543,126.031366,0.780831,28.288127,27.528472,0.011110,126.024511,
20,0.098958,0.008195,0.222970,0.171854,0.387435,0.004541,0.015170,0.469519,12.775252,9.846518,22.198364,0.260153,0.869198,
21,0.098788,0.008273,0.222857,0.171700,0.387335,0.004636,0.015269,0.473990,12.768780,9.837710,22.192685,0.265601,0.874871,
22,0.952229,0.184359,1.365300,1.063811,2.430982,0.000215,0.184261,10.563012,78.225942,60.951878,139.285024,0.012332,10.557389,
23,0.000922,0.000014,0.000106,0.000083,0.000189,0.000000,0.000014,0.000821,0.006076,0.004735,0.010819,0.000001,0.000820,
