time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,2.142331,-1.588867,1.707112,-1.689035,-1.570791,-2.570064
0.100000,2.134831,-1.588861,1.707106,-1.689035,-1.570803,-2.577540
0.200000,2.112331,-1.588842,1.707088,-1.689036,-1.570839,-2.599969
0.300000,2.074831,-1.588812,1.707057,-1.689038,-1.570899,-2.637349
0.400000,2.022331,-1.588770,1.707015,-1.689040,-1.570983,-2.689682
0.500000,1.959767,-1.588719,1.706964,-1.689042,-1.571083,-2.752047
0.600000,1.896935,-1.588668,1.706913,-1.689044,-1.571183,-2.814679
0.700000,1.834103,-1.588618,1.706862,-1.689046,-1.571283,-2.877311
0.800000,1.771271,-1.588567,1.706811,-1.689049,-1.571384,-2.939942
0.900000,1.708439,-1.588516,1.706760,-1.689051,-1.571484,-3.002574
1.000000,1.645607,-1.588465,1.706708,-1.689053,-1.571584,-3.065206
1.100000,1.582775,-1.588414,1.706657,-1.689056,-1.571685,-3.127838
1.200000,1.519944,-1.588364,1.706606,-1.689058,-1.571785,-3.190469
1.300000,1.457112,-1.588313,1.706555,-1.689060,-1.571885,-3.253101
1.400000,1.394280,-1.588262,1.706504,-1.689063,-1.571986,-3.315733
1.500000,1.331448,-1.588211,1.706453,-1.689065,-1.572086,-3.378364
1.600000,1.268616,-1.588161,1.706402,-1.689067,-1.572186,-3.440996
1.700000,1.205784,-1.588110,1.706351,-1.689070,-1.572287,-3.503628
1.800000,1.142952,-1.588059,1.706300,-1.689072,-1.572387,-3.566260
1.900000,1.080121,-1.588008,1.706249,-1.689074,-1.572487,-3.628891
2.000000,1.017289,-1.587957,1.706198,-1.689076,-1.572588,-3.691523
2.100000,0.954457,-1.587907,1.706147,-1.689079,-1.572688,-3.754155
2.200000,0.891625,-1.587856,1.706096,-1.689081,-1.572788,-3.816786
2.300000,0.828793,-1.587805,1.706045,-1.689083,-1.572889,-3.879418
2.400000,0.765961,-1.587754,1.705994,-1.689086,-1.572989,-3.942050
2.500000,0.703129,-1.587704,1.705943,-1.689088,-1.573089,-4.004682
2.600000,0.640298,-1.587653,1.705891,-1.689090,-1.573190,-4.067313
2.700000,0.577466,-1.587602,1.705840,-1.689093,-1.573290,-4.129945
2.800000,0.514634,-1.587551,1.705789,-1.689095,-1.573390,-4.192577
2.900000,0.451802,-1.587500,1.705738,-1.689097,-1.573491,-4.255208
3.000000,0.391221,-1.587452,1.705689,-1.689099,-1.573587,-4.315597
3.100000,0.344105,-1.587413,1.705651,-1.689101,-1.573663,-4.362562
3.200000,0.311990,-1.587387,1.705625,-1.689102,-1.573714,-4.394575
3.300000,0.294875,-1.587374,1.705611,-1.689103,-1.573741,-4.411636
3.364102,0.291793,-1.587371,1.705608,-1.689103,-1.573746,-4.414708
