trial_id,step_name,experiment_mode,success,fallback_used,ik_time_sec,rrt_planning_sec,shortcut_time_sec,initial_guess_time_sec,solve_time_sec,total_compute_sec,exec_wait_sec,num_rrt_points,num_shortcut_waypoints,num_optimized_points,trajectory_duration_sec,joint_path_length,mean_joint_velocity,max_joint_velocity,mean_joint_acceleration,max_joint_acceleration,mean_joint_jerk,max_joint_jerk,mean_torque,max_torque,mean_torque_rate,max_torque_rate,max_constraint_violation,final_cost,solver_status,message
1,pre_grasp,rrt_only,1,0,0.500294,0.032969,0.000000,0.000000,0.000000,4.387457,3.852714,40,0,40,3.804438,3.398887,0.233178,0.942478,0.163724,1.500000,0.307752,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
1,pre_grasp,rrt_only,1,0,0.500903,0.032949,0.000000,0.000000,0.000000,4.438756,3.902788,40,0,40,3.804488,3.398898,0.233176,0.942478,0.163719,1.500000,0.307743,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
2,pre_grasp,rrt_only,0,0,0.501383,0.033933,0.000000,0.000000,0.000000,0.535436,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,RRT planning failed
3,pre_grasp,rrt_only,1,0,0.501187,0.032140,0.000000,0.000000,0.000000,4.735762,4.202157,43,0,43,4.125429,3.328115,0.212943,0.628319,0.123448,1.500000,0.359637,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
4,pre_grasp,rrt_only,0,0,0.500339,0.033051,0.000000,0.000000,0.000000,0.533474,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,RRT planning failed
5,pre_grasp,rrt_only,1,0,0.501035,0.031824,0.000000,0.000000,0.000000,2.835681,2.302529,24,0,24,2.267791,1.798814,0.240496,0.628319,0.279811,1.500000,0.847911,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
6,pre_grasp,rrt_only,1,0,0.500577,0.029729,0.000000,0.000000,0.000000,1.782630,1.252087,14,0,14,1.207755,0.761997,0.173444,0.628319,0.526319,1.500000,1.535096,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
7,pre_grasp,rrt_only,1,0,0.500146,0.028762,0.000000,0.000000,0.000000,1.481065,0.951920,11,0,11,0.918591,0.527600,0.165873,0.627887,0.792516,1.500000,2.421612,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
8,pre_grasp,rrt_only,1,0,0.500708,0.031767,0.000000,0.000000,0.000000,1.335250,0.802590,9,0,9,0.758491,0.399104,0.154625,0.537737,0.862645,1.500000,3.465983,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
9,pre_grasp,rrt_only,1,0,0.501973,0.031859,0.000000,0.000000,0.000000,4.486004,3.951833,41,0,41,3.907265,3.106063,0.195556,0.628319,0.133918,1.500000,0.351964,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
10,pre_grasp,rrt_only,1,0,0.502359,0.033920,0.000000,0.000000,0.000000,3.539481,3.002945,31,0,31,2.965005,2.737455,0.256457,0.942478,0.227240,1.500000,0.467138,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
11,pre_grasp,rrt_only,1,0,0.501889,0.041355,0.000000,0.000000,0.000000,3.546658,3.002986,31,0,31,2.943427,2.717134,0.254663,0.942478,0.227660,1.500000,0.468001,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
12,pre_grasp,rrt_only,0,0,0.501038,0.032895,0.000000,0.000000,0.000000,0.534048,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,RRT planning failed
13,pre_grasp,rrt_only,1,0,0.500430,0.033964,0.000000,0.000000,0.000000,3.536765,3.002074,31,0,31,2.965068,2.737469,0.256453,0.942478,0.227231,1.500000,0.467119,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
14,pre_grasp,rrt_only,1,0,0.500434,0.030750,0.000000,0.000000,0.000000,1.033347,0.501979,6,0,6,0.467317,0.111782,0.047391,0.300000,0.443207,1.500000,3.324053,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,rrt_only,
